label,roll,pitch,yaw,gx,gy,gz,ax,ay,az,flex0,flex1,flex2,flex3,flex4
B,-0.01773649866182991,0.028358865105832333,0.003419667112287542,0.5918170792608977,-0.11443247485196784,0.34240565028180053,-0.566650390625,-0.454345703125,0.489990234375,850,384,598,462,247
B,-0.05333515488016675,0.04473738811896849,-0.010803280331431563,-1.1028394092887206,-1.2365698794321205,-1.4209531283441534,-0.55224609375,-0.4716796875,0.490966796875,848,389,601,461,245
B,-0.07236715953428785,0.053286073715765644,-0.015014972103559348,0.5765499036883786,-1.9999286580580746,-0.42095312834415366,-0.56103515625,-0.4873046875,0.49267578125,850,390,599,461,244
B,-0.08165833050582481,0.04551610586948689,-0.0017959402036332487,1.5231147891845618,-3.6564172076763954,1.319504886923022,-0.561279296875,-0.478759765625,0.49755859375,849,389,595,459,247
B,-0.09808186260612342,0.048863136366498965,0.003935330769831767,0.7673895983448671,-2.5800813298138,0.5714132838695868,-0.5615234375,-0.46484375,0.495361328125,849,387,600,461,245
B,-0.10210971141228417,0.06095480167670193,0.0010314440814850132,2.019297995291432,-1.694585146607693,-0.29118213597774145,-0.5498046875,-0.458984375,0.512451171875,846,396,596,460,246
B,-0.12653540464767557,0.073668214444393,-0.013407089122790865,0.004030819718912948,-1.6106156809588381,-1.4438538917029322,-0.552001953125,-0.46826171875,0.498291015625,846,399,596,458,244
B,-0.14996402230990244,0.09787156067533224,-0.03344525011437256,0.13380181208532516,-0.4350431618748687,-2.0011058000998787,-0.55126953125,-0.477294921875,0.480224609375,846,406,596,461,245
B,-0.17254025562075778,0.08703376547684588,-0.03614044791801424,0.1948705143754015,-3.9617607191267767,-0.27591496040522234,-0.550537109375,-0.469482421875,0.46875,843,405,593,457,245
B,-0.19712257117735185,0.08301992807872677,-0.034869103891392514,0.026931583077691557,-3.2518370550046396,0.12103160448027384,-0.54638671875,-0.477294921875,0.48828125,841,399,591,460,245
B,-0.21710146315759435,0.11185481510443421,-0.0368286224141294,0.43914532353570684,-0.007562245844334292,-0.19194549475636735,-0.560791015625,-0.4736328125,0.48974609375,846,400,593,457,245
B,-0.25782058097097915,0.11981196969944859,-0.04642769474308651,-1.660091317685667,-2.114432474851968,-0.9629378611685812,-0.56201171875,-0.4658203125,0.48486328125,843,400,594,457,247
B,-0.2666465132198154,0.13780027487948604,-0.048426168302850396,1.5460155525433406,-1.0991652992794487,-0.1995790825426269,-0.552490234375,-0.464111328125,0.486328125,843,400,593,456,246
B,-0.3181603302055251,0.13384654680041808,-0.06803675750302168,-2.6982592566169648,-3.267104230577159,-1.9705714489548405,-0.56396484375,-0.48046875,0.495849609375,843,399,590,459,247
B,-0.331763338489562,0.14326767093445122,-0.0718195762099721,1.1490689876578442,-1.8854248412641816,-0.382785189412856,-0.5615234375,-0.49951171875,0.496826171875,839,394,588,458,244
B,-0.353563725966757,0.14504633237345999,-0.0784551085909324,0.2941071555967755,-2.6793179710351738,-0.6728615252907185,-0.550048828125,-0.47705078125,0.474609375,837,395,587,458,246
B,-0.3522779108157922,0.16067195878272078,-0.07752410084454565,2.4925804380395236,-1.3892416351573114,0.09049725333523567,-0.577392578125,-0.464599609375,0.4931640625,846,395,588,458,249
